Date,Name,Status, Effort 
11-01-2023,Employee 13,Billable, 0.500 
11-01-2023,Employee 13,Non-Billable, 6.000 
11-01-2023,Employee 14,Billable, 9.000 
11-01-2023,Employee 15,Non-Billable, 9.000 
11-01-2023,Employee 17,Billable, 7.000 
11-01-2023,Employee 20,Billable, 9.167 
11-01-2023,Employee 21,Billable, 8.833 
11-01-2023,Employee 22,Billable, 7.000 
11-01-2023,Employee 23,Billable, 1.000 
11-01-2023,Employee 24,Billable, 8.000 
11-01-2023,Employee 25,Billable, 7.000 
11-01-2023,Employee 26,Non-Billable, 6.000 
11-01-2023,Employee 28,Non-Billable, 5.500 
11-01-2023,Employee 29,Non-Billable, 7.750 
11-01-2023,Employee 30,Billable, 7.500 
12-01-2023,Employee 03,Billable, 7.000 
12-01-2023,Employee 05,Billable, 7.000 
12-01-2023,Employee 07,Billable, 7.500 
12-01-2023,Employee 08,Billable, 7.417 
12-01-2023,Employee 09,Billable, 1.000 
12-01-2023,Employee 12,Non-Billable, 12.000 
12-01-2023,Employee 13,Billable, 0.500 
12-01-2023,Employee 13,Non-Billable, 6.500 
12-01-2023,Employee 14,Billable, 8.500 
12-01-2023,Employee 15,Non-Billable, 5.000 
12-01-2023,Employee 17,Billable, 5.000 
12-01-2023,Employee 20,Billable, 7.333 
12-01-2023,Employee 21,Billable, 8.083 
12-01-2023,Employee 23,Billable, 1.000 
12-01-2023,Employee 24,Billable, 7.000 
12-01-2023,Employee 25,Billable, 6.250 
12-01-2023,Employee 26,Non-Billable, 3.000 
12-01-2023,Employee 28,Non-Billable, 4.000 
12-01-2023,Employee 29,Non-Billable, 7.750 
12-01-2023,Employee 30,Billable, 7.500 
13-01-2023,Employee 03,Billable, 10.000 
13-01-2023,Employee 05,Billable, 6.583 
13-01-2023,Employee 07,Billable, 6.500 
13-01-2023,Employee 07,Non-Billable, 2.000 
13-01-2023,Employee 08,Billable, 8.250 
13-01-2023,Employee 12,Non-Billable, 11.000 
13-01-2023,Employee 13,Billable, 1.000 
13-01-2023,Employee 13,Non-Billable, 6.500 
13-01-2023,Employee 14,Billable, 8.500 
13-01-2023,Employee 17,Billable, 7.000 
13-01-2023,Employee 20,Billable, 6.000 
13-01-2023,Employee 21,Billable, 8.500 
13-01-2023,Employee 23,Billable, 1.000 
13-01-2023,Employee 24,Billable, 12.000 
13-01-2023,Employee 25,Billable, 9.167 
13-01-2023,Employee 29,Non-Billable, 7.250 
13-01-2023,Employee 30,Billable, 8.000 
14-01-2023,Employee 07,Billable, 3.500 
14-01-2023,Employee 07,Non-Billable, 2.500 
14-01-2023,Employee 30,Billable, 7.000 
15-01-2023,Employee 07,Billable, 4.333 
15-01-2023,Employee 08,Billable, 2.000 
15-01-2023,Employee 30,Billable, 7.000 
16-01-2023,Employee 03,Billable, 9.000 
16-01-2023,Employee 05,Billable, 6.650 
16-01-2023,Employee 08,Billable, 4.500 
16-01-2023,Employee 20,Billable, 8.667 
16-01-2023,Employee 21,Billable, 8.000 
16-01-2023,Employee 23,Billable, 2.000 
16-01-2023,Employee 30,Billable, 10.000 
17-01-2023,Employee 03,Billable, 10.000 
17-01-2023,Employee 05,Billable, 3.167 
17-01-2023,Employee 07,Billable, 8.750 
17-01-2023,Employee 08,Billable, 2.000 
17-01-2023,Employee 12,Billable, 1.500 
17-01-2023,Employee 12,Non-Billable, 5.000 
17-01-2023,Employee 13,Non-Billable, 7.500 
17-01-2023,Employee 14,Billable, 8.000 
17-01-2023,Employee 15,Non-Billable, 8.000 
17-01-2023,Employee 17,Billable, 3.500 
17-01-2023,Employee 17,Non-Billable, 2.000 
17-01-2023,Employee 20,Billable, 7.833 
17-01-2023,Employee 21,Billable, 10.000 
17-01-2023,Employee 23,Billable, 1.000 
17-01-2023,Employee 24,Billable, 8.000 
17-01-2023,Employee 26,Non-Billable, 4.500 
17-01-2023,Employee 28,Non-Billable, 5.000 
17-01-2023,Employee 29,Non-Billable, 7.750 
17-01-2023,Employee 30,Billable, 9.750 
18-01-2023,Employee 03,Billable, 8.000 
18-01-2023,Employee 07,Billable, 7.083 
18-01-2023,Employee 08,Billable, 8.000 
18-01-2023,Employee 09,Billable, 2.000 
18-01-2023,Employee 12,Billable, 1.000 
18-01-2023,Employee 12,Non-Billable, 5.000 
18-01-2023,Employee 13,Billable, 1.500 
18-01-2023,Employee 13,Non-Billable, 5.000 
18-01-2023,Employee 14,Billable, 8.000 
18-01-2023,Employee 15,Non-Billable, 7.000 
18-01-2023,Employee 17,Billable, 2.500 
18-01-2023,Employee 17,Non-Billable, 4.000 
18-01-2023,Employee 20,Billable, 6.583 
18-01-2023,Employee 21,Billable, 3.000 
18-01-2023,Employee 22,Billable, 6.083 
18-01-2023,Employee 23,Billable, 2.000 
18-01-2023,Employee 24,Billable, 8.000 
18-01-2023,Employee 25,Billable, 7.333 
18-01-2023,Employee 26,Non-Billable, 2.500 
18-01-2023,Employee 28,Non-Billable, 5.500 
18-01-2023,Employee 29,Non-Billable, 8.250 
18-01-2023,Employee 30,Billable, 8.750 
19-01-2023,Employee 07,Billable, 6.500 
19-01-2023,Employee 07,Non-Billable, 1.000 
19-01-2023,Employee 08,Billable, 8.000 
19-01-2023,Employee 09,Billable, 2.000 
19-01-2023,Employee 12,Billable, 1.000 
19-01-2023,Employee 12,Non-Billable, 5.000 
19-01-2023,Employee 13,Billable, 1.000 
19-01-2023,Employee 13,Non-Billable, 6.500 
19-01-2023,Employee 14,Billable, 8.500 
19-01-2023,Employee 15,Billable, 4.000 
19-01-2023,Employee 15,Non-Billable, 5.500 
19-01-2023,Employee 17,Billable, 7.500 
19-01-2023,Employee 20,Billable, 4.750 
19-01-2023,Employee 21,Billable, 16.000 
19-01-2023,Employee 22,Billable, 8.250 
19-01-2023,Employee 23,Billable, 1.000 
19-01-2023,Employee 24,Billable, 7.000 
19-01-2023,Employee 25,Billable, 6.417 
19-01-2023,Employee 26,Non-Billable, 5.350 
19-01-2023,Employee 28,Non-Billable, 5.000 
19-01-2023,Employee 29,Billable, 1.000 
19-01-2023,Employee 29,Non-Billable, 6.250 
19-01-2023,Employee 30,Billable, 7.500 
20-01-2023,Employee 03,Billable, 9.000 
20-01-2023,Employee 05,Billable, 6.667 
20-01-2023,Employee 07,Billable, 7.333 
20-01-2023,Employee 08,Billable, 12.833 
20-01-2023,Employee 09,Billable, 2.000 
20-01-2023,Employee 12,Billable, 3.000 
20-01-2023,Employee 12,Non-Billable, 3.000 
20-01-2023,Employee 14,Billable, 8.000 
20-01-2023,Employee 15,Non-Billable, 6.000 
20-01-2023,Employee 20,Billable, 6.833 
20-01-2023,Employee 21,Billable, 8.500 
20-01-2023,Employee 22,Billable, 7.833 
20-01-2023,Employee 23,Billable, 2.000 
20-01-2023,Employee 24,Billable, 8.000 
20-01-2023,Employee 25,Billable, 7.250 
20-01-2023,Employee 26,Non-Billable, 4.083 
20-01-2023,Employee 28,Non-Billable, 5.000 
20-01-2023,Employee 29,Non-Billable, 7.750 
20-01-2023,Employee 30,Billable, 7.500 
21-01-2023,Employee 07,Billable, 4.500 
21-01-2023,Employee 21,Billable, 8.000 
21-01-2023,Employee 30,Billable, 7.000 
22-01-2023,Employee 07,Billable, 3.000 
22-01-2023,Employee 23,Billable, 1.000 
22-01-2023,Employee 30,Billable, 7.500 
23-01-2023,Employee 03,Billable, 9.500 
23-01-2023,Employee 05,Billable, 6.750 
23-01-2023,Employee 07,Billable, 7.917 
23-01-2023,Employee 08,Billable, 7.417 
23-01-2023,Employee 09,Billable, 1.000 
23-01-2023,Employee 10,Billable, 7.083 
23-01-2023,Employee 12,Billable, 6.500 
23-01-2023,Employee 13,Non-Billable, 6.500 
23-01-2023,Employee 14,Billable, 7.250 
23-01-2023,Employee 15,Non-Billable, 7.000 
23-01-2023,Employee 17,Billable, 1.500 
23-01-2023,Employee 17,Non-Billable, 1.000 
23-01-2023,Employee 20,Billable, 9.167 
23-01-2023,Employee 21,Billable, 10.000 
23-01-2023,Employee 22,Billable, 8.000 
23-01-2023,Employee 23,Billable, 1.000 
23-01-2023,Employee 24,Billable, 7.000 
23-01-2023,Employee 24,Non-Billable, 1.000 
23-01-2023,Employee 25,Billable, 8.000 
23-01-2023,Employee 25,Non-Billable, 0.833 
23-01-2023,Employee 26,Non-Billable, 6.083 
23-01-2023,Employee 28,Non-Billable, 7.583 
23-01-2023,Employee 30,Billable, 9.000 
24-01-2023,Employee 03,Billable, 9.000 
24-01-2023,Employee 05,Billable, 5.333 
24-01-2023,Employee 05,Non-Billable, 1.000 
24-01-2023,Employee 07,Billable, 7.000 
24-01-2023,Employee 08,Billable, 7.667 
24-01-2023,Employee 09,Billable, 0.500 
24-01-2023,Employee 10,Billable, 6.333 
24-01-2023,Employee 10,Non-Billable, 4.000 
24-01-2023,Employee 12,Billable, 6.750 
24-01-2023,Employee 13,Non-Billable, 7.500 
24-01-2023,Employee 14,Billable, 7.500 
24-01-2023,Employee 15,Non-Billable, 9.000 
24-01-2023,Employee 17,Billable, 2.083 
24-01-2023,Employee 17,Non-Billable, 1.000 
24-01-2023,Employee 20,Billable, 10.667 
24-01-2023,Employee 21,Billable, 10.000 
24-01-2023,Employee 22,Billable, 9.250 
24-01-2023,Employee 23,Billable, 1.000 
24-01-2023,Employee 24,Billable, 5.000 
24-01-2023,Employee 24,Non-Billable, 2.000 
24-01-2023,Employee 25,Billable, 4.667 
24-01-2023,Employee 25,Non-Billable, 2.500 
24-01-2023,Employee 26,Non-Billable, 6.567 
24-01-2023,Employee 28,Non-Billable, 6.933 
24-01-2023,Employee 30,Billable, 8.500 
25-01-2023,Employee 03,Billable, 9.000 
25-01-2023,Employee 05,Billable, 6.233 
25-01-2023,Employee 07,Billable, 4.667 
25-01-2023,Employee 07,Non-Billable, 1.500 
25-01-2023,Employee 08,Billable, 3.583 
25-01-2023,Employee 09,Billable, 1.500 
25-01-2023,Employee 10,Billable, 5.533 
25-01-2023,Employee 10,Non-Billable, 2.500 
25-01-2023,Employee 12,Billable, 8.750 
25-01-2023,Employee 13,Non-Billable, 6.000 
25-01-2023,Employee 14,Billable, 7.000 
25-01-2023,Employee 15,Non-Billable, 8.000 
25-01-2023,Employee 17,Billable, 4.250 
25-01-2023,Employee 20,Billable, 7.250 
25-01-2023,Employee 21,Billable, 8.333 
25-01-2023,Employee 22,Billable, 7.917 
25-01-2023,Employee 23,Billable, 1.000 
25-01-2023,Employee 25,Billable, 5.250 
25-01-2023,Employee 25,Non-Billable, 1.250 
25-01-2023,Employee 26,Non-Billable, 5.483 
25-01-2023,Employee 28,Non-Billable, 7.050 
25-01-2023,Employee 30,Billable, 8.500 
26-01-2023,Employee 08,Billable, 0.333 
26-01-2023,Employee 14,Billable, 3.750 
26-01-2023,Employee 30,Billable, 3.500 
27-01-2023,Employee 03,Billable, 10.000 
27-01-2023,Employee 05,Billable, 5.167 
27-01-2023,Employee 05,Non-Billable, 1.750 
27-01-2023,Employee 07,Billable, 6.417 
27-01-2023,Employee 07,Non-Billable, 1.500 
27-01-2023,Employee 08,Billable, 9.583 
27-01-2023,Employee 10,Billable, 5.000 
27-01-2023,Employee 10,Non-Billable, 2.500 
27-01-2023,Employee 12,Billable, 7.250 
27-01-2023,Employee 13,Non-Billable, 7.500 
27-01-2023,Employee 14,Billable, 8.750 
27-01-2023,Employee 15,Non-Billable, 9.000 
27-01-2023,Employee 20,Billable, 6.167 
27-01-2023,Employee 22,Billable, 7.917 
27-01-2023,Employee 23,Billable, 1.000 
27-01-2023,Employee 25,Billable, 7.250 
27-01-2023,Employee 26,Non-Billable, 6.467 
27-01-2023,Employee 28,Non-Billable, 6.000 
27-01-2023,Employee 30,Billable, 8.250 
30-01-2023,Employee 03,Billable, 9.000 
30-01-2023,Employee 05,Billable, 6.000 
30-01-2023,Employee 05,Non-Billable, 1.333 
30-01-2023,Employee 07,Billable, 8.667 
30-01-2023,Employee 08,Billable, 7.250 
30-01-2023,Employee 09,Billable, 1.000 
30-01-2023,Employee 10,Billable, 5.333 
30-01-2023,Employee 10,Non-Billable, 3.833 
30-01-2023,Employee 12,Billable, 6.500 
30-01-2023,Employee 13,Non-Billable, 7.167 
30-01-2023,Employee 15,Non-Billable, 10.000 
30-01-2023,Employee 17,Billable, 2.500 
30-01-2023,Employee 17,Non-Billable, 3.500 
30-01-2023,Employee 20,Billable, 9.750 
30-01-2023,Employee 22,Billable, 7.333 
30-01-2023,Employee 23,Billable, 1.500 
30-01-2023,Employee 24,Billable, 7.500 
30-01-2023,Employee 25,Billable, 7.750 
30-01-2023,Employee 26,Non-Billable, 7.183 
30-01-2023,Employee 29,Non-Billable, 5.000 
30-01-2023,Employee 30,Billable, 8.750 
31-01-2023,Employee 03,Billable, 9.500 
31-01-2023,Employee 05,Billable, 7.500 
31-01-2023,Employee 05,Non-Billable, 3.000 
31-01-2023,Employee 07,Billable, 8.583 
31-01-2023,Employee 07,Non-Billable, 0.333 
31-01-2023,Employee 08,Billable, 7.417 
31-01-2023,Employee 10,Billable, 8.250 
31-01-2023,Employee 10,Non-Billable, 3.500 
31-01-2023,Employee 12,Billable, 5.500 
31-01-2023,Employee 12,Non-Billable, 0.750 
31-01-2023,Employee 13,Non-Billable, 7.000 
31-01-2023,Employee 14,Billable, 7.000 
31-01-2023,Employee 15,Non-Billable, 7.667 
31-01-2023,Employee 17,Billable, 3.000 
31-01-2023,Employee 17,Non-Billable, 3.333 
31-01-2023,Employee 20,Billable, 7.583 
31-01-2023,Employee 22,Billable, 8.000 
31-01-2023,Employee 23,Billable, 1.500 
31-01-2023,Employee 24,Billable, 7.250 
31-01-2023,Employee 25,Billable, 7.750 
31-01-2023,Employee 26,Non-Billable, 6.900 
31-01-2023,Employee 28,Non-Billable, 7.483 
31-01-2023,Employee 29,Non-Billable, 3.750 
31-01-2023,Employee 30,Billable, 8.250 
01-02-2023,Employee 03,Billable, 9.000 
01-02-2023,Employee 05,Billable, 2.800 
01-02-2023,Employee 05,Non-Billable, 3.000 
01-02-2023,Employee 07,Billable, 7.917 
01-02-2023,Employee 08,Billable, 10.333 
01-02-2023,Employee 10,Billable, 2.750 
01-02-2023,Employee 10,Non-Billable, 3.000 
01-02-2023,Employee 12,Billable, 6.500 
01-02-2023,Employee 13,Non-Billable, 4.500 
01-02-2023,Employee 14,Billable, 7.583 
01-02-2023,Employee 15,Non-Billable, 8.167 
01-02-2023,Employee 17,Billable, 1.750 
01-02-2023,Employee 20,Billable, 8.333 
01-02-2023,Employee 21,Billable, 6.500 
01-02-2023,Employee 22,Billable, 7.667 
01-02-2023,Employee 23,Billable, 3.000 
01-02-2023,Employee 24,Billable, 16.000 
01-02-2023,Employee 25,Billable, 7.750 
01-02-2023,Employee 26,Non-Billable, 7.167 
01-02-2023,Employee 28,Non-Billable, 7.000 
01-02-2023,Employee 29,Billable, 6.000 
01-02-2023,Employee 29,Non-Billable, 4.000 
01-02-2023,Employee 30,Billable, 8.000 
02-02-2023,Employee 03,Billable, 9.500 
02-02-2023,Employee 05,Billable, 5.000 
02-02-2023,Employee 05,Non-Billable, 1.500 
02-02-2023,Employee 07,Billable, 7.917 
02-02-2023,Employee 08,Billable, 10.417 
02-02-2023,Employee 09,Billable, 0.500 
02-02-2023,Employee 10,Billable, 3.000 
02-02-2023,Employee 10,Non-Billable, 4.000 
02-02-2023,Employee 12,Billable, 6.250 
02-02-2023,Employee 13,Non-Billable, 6.500 
02-02-2023,Employee 14,Billable, 7.000 
02-02-2023,Employee 15,Non-Billable, 8.167 
02-02-2023,Employee 17,Billable, 6.250 
02-02-2023,Employee 20,Billable, 11.500 
02-02-2023,Employee 21,Billable, 9.167 
02-02-2023,Employee 22,Billable, 7.000 
02-02-2023,Employee 23,Billable, 3.000 
02-02-2023,Employee 24,Billable, 15.000 
02-02-2023,Employee 25,Billable, 7.250 
02-02-2023,Employee 26,Non-Billable, 7.133 
02-02-2023,Employee 28,Non-Billable, 7.000 
02-02-2023,Employee 29,Billable, 8.500 
02-02-2023,Employee 29,Non-Billable, 1.500 
02-02-2023,Employee 30,Billable, 8.500 
03-02-2023,Employee 03,Billable, 8.500 
03-02-2023,Employee 05,Billable, 5.167 
03-02-2023,Employee 05,Non-Billable, 1.500 
03-02-2023,Employee 07,Billable, 7.667 
03-02-2023,Employee 08,Billable, 8.917 
03-02-2023,Employee 10,Billable, 2.417 
03-02-2023,Employee 10,Non-Billable, 4.000 
03-02-2023,Employee 12,Billable, 6.250 
03-02-2023,Employee 14,Billable, 7.583 
03-02-2023,Employee 15,Non-Billable, 8.167 
03-02-2023,Employee 17,Billable, 3.000 
03-02-2023,Employee 17,Non-Billable, 2.000 
03-02-2023,Employee 20,Billable, 8.167 
03-02-2023,Employee 21,Billable, 14.500 
03-02-2023,Employee 22,Billable, 8.500 
03-02-2023,Employee 23,Billable, 3.000 
03-02-2023,Employee 24,Billable, 3.000 
03-02-2023,Employee 24,Non-Billable, 6.500 
03-02-2023,Employee 25,Billable, 0.750 
03-02-2023,Employee 25,Non-Billable, 7.000 
03-02-2023,Employee 26,Non-Billable, 6.917 
03-02-2023,Employee 28,Non-Billable, 5.833 
03-02-2023,Employee 29,Billable, 10.000 
03-02-2023,Employee 29,Non-Billable, 0.500 
04-02-2023,Employee 21,Billable, 4.000 
04-02-2023,Employee 28,Non-Billable, 2.000 
05-02-2023,Employee 21,Billable, 4.000 
06-02-2023,Employee 03,Billable, 11.000 
06-02-2023,Employee 05,Billable, 5.500 
06-02-2023,Employee 05,Non-Billable, 1.500 
06-02-2023,Employee 07,Billable, 9.000 
06-02-2023,Employee 08,Billable, 9.917 
06-02-2023,Employee 09,Billable, 1.000 
06-02-2023,Employee 10,Billable, 2.833 
06-02-2023,Employee 10,Non-Billable, 2.000 
06-02-2023,Employee 12,Billable, 7.000 
06-02-2023,Employee 13,Non-Billable, 7.500 
06-02-2023,Employee 14,Billable, 8.000 
06-02-2023,Employee 15,Non-Billable, 7.500 
06-02-2023,Employee 17,Billable, 3.500 
06-02-2023,Employee 17,Non-Billable, 2.500 
06-02-2023,Employee 20,Billable, 13.500 
06-02-2023,Employee 21,Billable, 17.000 
06-02-2023,Employee 22,Billable, 6.000 
06-02-2023,Employee 23,Billable, 2.000 
06-02-2023,Employee 25,Billable, 2.000 
06-02-2023,Employee 25,Non-Billable, 6.750 
06-02-2023,Employee 26,Non-Billable, 7.250 
06-02-2023,Employee 29,Billable, 5.000 
06-02-2023,Employee 29,Non-Billable, 2.500 
06-02-2023,Employee 30,Billable, 8.500 
07-02-2023,Employee 03,Billable, 10.500 
07-02-2023,Employee 03,Non-Billable, 0.500 
07-02-2023,Employee 07,Billable, 7.667 
07-02-2023,Employee 08,Billable, 9.167 
07-02-2023,Employee 10,Billable, 4.417 
07-02-2023,Employee 10,Non-Billable, 2.000 
07-02-2023,Employee 12,Billable, 7.000 
07-02-2023,Employee 13,Non-Billable, 7.417 
07-02-2023,Employee 14,Billable, 7.750 
07-02-2023,Employee 15,Non-Billable, 7.500 
07-02-2023,Employee 17,Billable, 5.500 
07-02-2023,Employee 17,Non-Billable, 0.500 
07-02-2023,Employee 20,Billable, 13.583 
07-02-2023,Employee 21,Billable, 14.500 
07-02-2023,Employee 22,Billable, 7.083 
07-02-2023,Employee 23,Billable, 2.000 
07-02-2023,Employee 24,Billable, 5.000 
07-02-2023,Employee 24,Non-Billable, 5.500 
07-02-2023,Employee 25,Billable, 10.167 
07-02-2023,Employee 25,Non-Billable, 3.000 
07-02-2023,Employee 28,Non-Billable, 7.583 
07-02-2023,Employee 29,Billable, 5.000 
07-02-2023,Employee 29,Non-Billable, 3.000 
07-02-2023,Employee 30,Billable, 9.500 
08-02-2023,Employee 03,Billable, 8.500 
08-02-2023,Employee 03,Non-Billable, 0.500 
08-02-2023,Employee 07,Billable, 9.083 
08-02-2023,Employee 08,Billable, 8.583 
08-02-2023,Employee 10,Billable, 4.583 
08-02-2023,Employee 10,Non-Billable, 1.500 
08-02-2023,Employee 12,Billable, 7.000 
08-02-2023,Employee 13,Non-Billable, 7.500 
08-02-2023,Employee 14,Billable, 7.583 
08-02-2023,Employee 15,Non-Billable, 8.500 
08-02-2023,Employee 17,Billable, 2.500 
08-02-2023,Employee 17,Non-Billable, 4.000 
08-02-2023,Employee 20,Billable, 6.667 
08-02-2023,Employee 21,Billable, 14.500 
08-02-2023,Employee 22,Billable, 11.000 
08-02-2023,Employee 23,Billable, 1.000 
08-02-2023,Employee 24,Billable, 13.000 
08-02-2023,Employee 25,Billable, 15.500 
08-02-2023,Employee 26,Non-Billable, 7.167 
08-02-2023,Employee 28,Non-Billable, 7.767 
08-02-2023,Employee 29,Billable, 2.500 
08-02-2023,Employee 29,Non-Billable, 7.000 
09-02-2023,Employee 03,Billable, 9.500 
09-02-2023,Employee 03,Non-Billable, 0.500 
09-02-2023,Employee 05,Billable, 4.417 
09-02-2023,Employee 05,Non-Billable, 2.000 
09-02-2023,Employee 07,Billable, 7.500 
09-02-2023,Employee 08,Billable, 8.667 
09-02-2023,Employee 10,Billable, 4.167 
09-02-2023,Employee 10,Non-Billable, 1.000 
09-02-2023,Employee 12,Billable, 7.500 
09-02-2023,Employee 14,Billable, 8.250 
09-02-2023,Employee 15,Non-Billable, 7.500 
09-02-2023,Employee 17,Billable, 5.500 
09-02-2023,Employee 17,Non-Billable, 1.000 
09-02-2023,Employee 20,Billable, 9.417 
09-02-2023,Employee 21,Billable, 14.500 
09-02-2023,Employee 22,Billable, 11.417 
09-02-2023,Employee 23,Billable, 1.000 
09-02-2023,Employee 24,Billable, 8.000 
09-02-2023,Employee 24,Non-Billable, 1.500 
09-02-2023,Employee 25,Billable, 9.500 
09-02-2023,Employee 25,Non-Billable, 1.500 
09-02-2023,Employee 26,Non-Billable, 6.500 
09-02-2023,Employee 28,Non-Billable, 5.000 
