SNo,E. Code,Name,Shift,S. InTime,S. OutTime,A. InTime,A. OutTime,Work Dur.,OT,Tot. Dur.,LateBy,EarlyGoingBy,Status,Punch Records,Date,In_Hours,Missed_swipe_ins,Missed_swipe_outs,Difference
14,00015,00015,GS,09:30,23:30,14:01,21:29,7:28,00:00,7:28,4:31,2:00,Present ,"14:01:in(Aidas Tech),16:23:out(Aidas Tech),17:30:in(Aidas Tech),17:34:(Aidas Tech),19:14:out(Aidas Tech),20:29:in(Aidas Tech),20:31:(Aidas Tech),21:29:out(Aidas Tech),",2023-01-03 00:00:00,05:00,0,2,02:28
15,00017,00039,GS,09:30,23:30,09:06,18:07,8:38,00:00,8:38,00:00,5:22,Present ,"09:06:in(Aidas Tech),09:22:out(Aidas Tech),09:27:in(Aidas Tech),09:27:(Aidas Tech),13:22:out(Aidas Tech),13:55:in(Aidas Tech),15:51:out(Aidas Tech),15:59:in(Aidas Tech),18:07:out(Aidas Tech),",2023-01-03 00:00:00,08:15,0,1,00:23
16,00018,00018,GS,09:30,23:30,08:12,16:59,7:29,00:00,7:29,00:00,6:30,Present ,"08:12:in(Aidas Tech),10:55:out(Aidas Tech),10:59:(Aidas Tech),13:06:in(Aidas Tech),13:27:out(Aidas Tech),16:59:in(Aidas Tech),",2023-01-03 00:00:00,03:04,0,1,04:25
17,00019,00019,GS,09:30,23:30,12:48,21:29,8:41,00:00,8:41,3:18,2:00,Present ,"12:48:in(Aidas Tech),13:22:out(Aidas Tech),14:44:in(Aidas Tech),17:40:out(Aidas Tech),18:19:in(Aidas Tech),20:15:out(Aidas Tech),20:19:(Aidas Tech),21:29:in(Aidas Tech),",2023-01-03 00:00:00,05:26,0,1,03:15
19,00024,00024,GS,09:30,23:30,13:13,21:38,8:25,00:00,8:25,3:43,1:51,Present ,"13:13:in(Aidas Tech),13:13:(Aidas Tech),17:04:out(Aidas Tech),17:30:in(Aidas Tech),21:38:out(Aidas Tech),",2023-01-03 00:00:00,07:59,0,1,00:26
20,00026,00026,GS,09:30,23:30,13:39,21:27,7:48,00:00,7:48,4:09,2:02,Present ,"13:39:in(Aidas Tech),15:34:out(Aidas Tech),15:39:(Aidas Tech),17:13:in(Aidas Tech),17:17:(Aidas Tech),17:40:out(Aidas Tech),18:19:in(Aidas Tech),20:00:out(Aidas Tech),20:04:(Aidas Tech),21:27:in(Aidas Tech),",2023-01-03 00:00:00,03:59,0,3,03:49
21,00027,00027,GS,09:30,23:30,09:59,19:35,9:36,00:00,9:36,00:29,3:54,Present ,"09:59:in(Aidas Tech),11:06:out(Aidas Tech),11:33:in(Aidas Tech),12:07:out(Aidas Tech),12:10:(Aidas Tech),13:23:in(Aidas Tech),14:44:out(Aidas Tech),17:47:in(Aidas Tech),17:50:(Aidas Tech),18:45:out(Aidas Tech),18:47:(Aidas Tech),19:35:in(Aidas Tech),",2023-01-03 00:00:00,03:57,0,3,05:39
23,00030,00030,GS,09:30,23:30,10:19,19:34,9:15,00:00,9:15,00:49,3:55,Present ,"10:19:in(Aidas Tech),12:20:out(Aidas Tech),12:23:(Aidas Tech),13:24:in(Aidas Tech),14:45:out(Aidas Tech),15:44:in(Aidas Tech),15:47:(Aidas Tech),17:35:out(Aidas Tech),18:52:in(Aidas Tech),19:34:out(Aidas Tech),",2023-01-03 00:00:00,05:52,0,2,03:23
24,00031,00031,GS,09:30,23:30,10:37,18:01,7:24,00:00,7:24,1:07,5:28,Present ,"10:37:in(Aidas Tech),12:22:out(Aidas Tech),12:27:in(Aidas Tech),13:24:out(Aidas Tech),14:45:in(Aidas Tech),15:06:out(Aidas Tech),15:06:(Aidas Tech),15:08:(Aidas Tech),15:08:(Aidas Tech),16:40:in(Aidas Tech),16:44:(Aidas Tech),18:01:out(Aidas Tech),",2023-01-03 00:00:00,04:20,0,4,03:04
26,00034,00034,GS,09:30,23:30,10:04,18:01,7:57,00:00,7:57,00:34,5:28,Present ,"10:04:in(Aidas Tech),10:39:out(Aidas Tech),10:43:(Aidas Tech),12:23:in(Aidas Tech),12:27:(Aidas Tech),13:22:out(Aidas Tech),14:44:in(Aidas Tech),17:36:out(Aidas Tech),17:41:(Aidas Tech),18:01:in(Aidas Tech),",2023-01-03 00:00:00,04:22,0,3,03:35
28,00036,00036,GS,09:30,23:30,14:47,20:51,6:04,00:00,6:04,5:17,2:38,Present ,"14:47:in(Aidas Tech),15:42:out(Aidas Tech),15:54:in(Aidas Tech),18:20:out(Aidas Tech),18:27:in(Aidas Tech),20:51:out(Aidas Tech),",2023-01-03 00:00:00,05:45,0,0,00:19
31,00041,00041,GS,09:30,23:30,09:11,18:02,8:33,00:00,8:33,00:00,5:27,Present ,"09:11:in(Aidas Tech),09:11:(Aidas Tech),09:56:out(Aidas Tech),10:07:in(Aidas Tech),13:08:out(Aidas Tech),13:38:in(Aidas Tech),14:43:out(Aidas Tech),14:45:(Aidas Tech),16:20:in(Aidas Tech),16:26:out(Aidas Tech),18:02:in(Aidas Tech),",2023-01-03 00:00:00,04:57,0,2,03:36
5,1,1,GS,09:30,23:30,11:51,19:23,7:32,00:00,7:32,2:21,4:06,Present ,"11:51:in(Aidas Tech),11:51:(Aidas Tech),12:50:out(Aidas Tech),12:53:(Aidas Tech),12:53:(Aidas Tech),13:38:in(Aidas Tech),13:42:(Aidas Tech),13:42:(Aidas Tech),14:45:out(Aidas Tech),14:48:(Aidas Tech),14:48:(Aidas Tech),15:42:in(Aidas Tech),16:33:out(Aidas Tech),16:33:(Aidas Tech),16:33:(Aidas Tech),16:33:(Aidas Tech),17:12:in(Aidas Tech),17:53:out(Aidas Tech),17:53:(Aidas Tech),19:23:in(Aidas Tech),",2023-01-04 00:00:00,03:34,0,11,03:58
6,0003,0003,GS,09:30,23:30,11:12,21:34,10:22,00:00,10:22,1:42,1:55,Present ,"11:12:in(Aidas Tech),12:03:out(Aidas Tech),12:29:in(Aidas Tech),12:29:(Aidas Tech),13:54:out(Aidas Tech),14:42:in(Aidas Tech),14:48:out(Aidas Tech),15:05:in(Aidas Tech),15:06:(Aidas Tech),15:09:(Aidas Tech),15:09:(Aidas Tech),17:12:out(Aidas Tech),17:53:in(Aidas Tech),20:08:out(Aidas Tech),20:27:in(Aidas Tech),21:34:out(Aidas Tech),",2023-01-04 00:00:00,07:47,0,4,02:35
7,00005,00005,GS,09:30,23:30,11:21,21:13,9:52,00:00,9:52,1:51,2:16,Present ,"11:21:in(Aidas Tech),13:46:out(Aidas Tech),14:28:in(Aidas Tech),17:46:out(Aidas Tech),18:30:in(Aidas Tech),21:13:out(Aidas Tech),",2023-01-04 00:00:00,08:26,0,0,01:26
8,006,006,GS,09:30,23:30,14:50,21:12,6:22,00:00,6:22,5:20,2:17,Present ,"14:50:in(Aidas Tech),19:15:out(Aidas Tech),19:19:(Aidas Tech),21:12:in(Aidas Tech),",2023-01-04 00:00:00,04:25,0,1,01:57
10,00007,00007,GS,09:30,23:30,10:39,17:46,7:07,00:00,7:07,1:09,5:43,Present ,"10:39:in(Aidas Tech),13:49:out(Aidas Tech),14:27:in(Aidas Tech),15:40:out(Aidas Tech),15:45:(Aidas Tech),17:46:in(Aidas Tech),",2023-01-04 00:00:00,04:23,0,1,02:44
11,0008,0008,GS,09:30,23:30,11:21,20:29,9:08,00:00,9:08,1:51,3:00,Present ,"11:21:in(Aidas Tech),11:21:(Aidas Tech),12:33:out(Aidas Tech),12:36:(Aidas Tech),13:46:in(Aidas Tech),14:28:out(Aidas Tech),16:24:in(Aidas Tech),16:30:out(Aidas Tech),17:45:in(Aidas Tech),18:30:out(Aidas Tech),20:29:in(Aidas Tech),",2023-01-04 00:00:00,02:45,0,2,06:23
12,0009,0009,GS,09:30,23:30,10:06,19:06,9:00,00:00,9:00,00:36,4:23,Present ,"10:06:in(Aidas Tech),11:11:out(Aidas Tech),11:16:in(Aidas Tech),11:16:(Aidas Tech),13:45:out(Aidas Tech),14:27:in(Aidas Tech),14:27:(Aidas Tech),16:15:out(Aidas Tech),16:21:in(Aidas Tech),17:46:out(Aidas Tech),18:30:in(Aidas Tech),19:06:out(Aidas Tech),",2023-01-04 00:00:00,07:23,0,2,01:37
13,010,010,GS,09:30,23:30,09:13,17:01,7:32,00:00,7:32,00:00,6:28,Present ,"09:13:in(Aidas Tech),10:30:out(Aidas Tech),10:30:(Aidas Tech),10:30:(Aidas Tech),10:54:in(Aidas Tech),11:00:out(Aidas Tech),12:11:in(Aidas Tech),12:31:out(Aidas Tech),13:44:in(Aidas Tech),14:23:out(Aidas Tech),14:23:(Aidas Tech),15:36:in(Aidas Tech),15:38:(Aidas Tech),17:01:out(Aidas Tech),",2023-01-04 00:00:00,03:45,0,4,03:47
14,00015,00015,GS,09:30,23:30,11:12,21:35,10:23,00:00,10:23,1:42,1:54,Present ,"11:12:in(Aidas Tech),12:48:out(Aidas Tech),13:00:in(Aidas Tech),14:42:out(Aidas Tech),17:53:in(Aidas Tech),20:30:out(Aidas Tech),20:34:(Aidas Tech),21:35:in(Aidas Tech),",2023-01-04 00:00:00,05:55,0,1,04:28
17,00019,00019,GS,09:30,23:30,12:17,20:55,8:38,00:00,8:38,2:47,2:34,Present ,"12:17:in(Aidas Tech),13:51:out(Aidas Tech),14:27:in(Aidas Tech),15:52:out(Aidas Tech),15:56:(Aidas Tech),17:00:in(Aidas Tech),17:08:out(Aidas Tech),17:46:in(Aidas Tech),18:30:out(Aidas Tech),20:09:in(Aidas Tech),20:15:out(Aidas Tech),20:55:in(Aidas Tech),",2023-01-04 00:00:00,03:57,0,1,04:41
19,00024,00024,GS,09:30,23:30,14:45,21:46,7:01,00:00,7:01,5:15,1:43,Present ,"14:45:in(Aidas Tech),15:28:out(Aidas Tech),15:30:(Aidas Tech),17:45:in(Aidas Tech),18:38:out(Aidas Tech),21:46:in(Aidas Tech),",2023-01-04 00:00:00,01:36,0,1,05:25
20,00026,00026,GS,09:30,23:30,12:22,20:55,8:33,00:00,8:33,2:52,2:34,Present ,"12:22:in(Aidas Tech),12:22:(Aidas Tech),12:25:(Aidas Tech),12:29:out(Aidas Tech),13:51:in(Aidas Tech),14:27:out(Aidas Tech),14:27:(Aidas Tech),15:03:in(Aidas Tech),15:07:(Aidas Tech),17:46:out(Aidas Tech),18:30:in(Aidas Tech),19:45:out(Aidas Tech),19:50:(Aidas Tech),20:55:in(Aidas Tech),",2023-01-04 00:00:00,04:34,0,5,03:59
23,00030,00030,GS,09:30,23:30,10:06,19:04,8:58,00:00,8:58,00:36,4:25,Present ,"10:06:in(Aidas Tech),13:49:out(Aidas Tech),14:27:in(Aidas Tech),19:04:out(Aidas Tech),",2023-01-04 00:00:00,08:20,0,0,00:38
26,00034,00034,GS,09:30,23:30,10:25,18:39,8:14,00:00,8:14,00:55,4:50,Present ,"10:25:in(Aidas Tech),13:44:out(Aidas Tech),14:27:in(Aidas Tech),17:46:out(Aidas Tech),18:30:in(Aidas Tech),18:39:out(Aidas Tech),",2023-01-04 00:00:00,06:47,0,0,01:27
28,00036,00036,GS,09:30,23:30,14:49,20:48,5:59,00:00,5:59,5:19,2:41,Present ,"14:49:in(Aidas Tech),17:46:out(Aidas Tech),18:38:in(Aidas Tech),18:38:(Aidas Tech),20:32:out(Aidas Tech),20:37:(Aidas Tech),20:48:in(Aidas Tech),",2023-01-04 00:00:00,04:51,0,2,01:08
31,00041,00041,GS,09:30,23:30,09:13,17:01,7:32,00:00,7:32,00:00,6:28,Present ,"09:13:in(Aidas Tech),10:54:out(Aidas Tech),11:00:in(Aidas Tech),11:00:(Aidas Tech),12:11:out(Aidas Tech),12:31:in(Aidas Tech),13:44:out(Aidas Tech),14:23:in(Aidas Tech),17:01:out(Aidas Tech),",2023-01-04 00:00:00,06:43,0,1,00:49
5,1,1,GS,09:30,23:30,15:18,19:16,3:58,00:00,3:58,5:48,4:13, ½Present ,"15:18:in(Aidas Tech),16:47:out(Aidas Tech),16:53:in(Aidas Tech),16:53:(Aidas Tech),18:15:out(Aidas Tech),18:29:in(Aidas Tech),18:29:(Aidas Tech),19:16:out(Aidas Tech),",2023-01-05 00:00:00,03:38,0,2,00:20
6,0003,0003,GS,09:30,23:30,14:21,21:28,7:07,00:00,7:07,4:51,2:01,Present ,"14:21:in(Aidas Tech),14:36:out(Aidas Tech),15:02:in(Aidas Tech),17:07:out(Aidas Tech),17:34:in(Aidas Tech),19:56:out(Aidas Tech),20:17:in(Aidas Tech),21:28:out(Aidas Tech),",2023-01-05 00:00:00,05:53,0,0,01:14
7,00005,00005,GS,09:30,23:30,15:07,21:09,6:02,00:00,6:02,5:37,2:20,Present ,"15:07:in(Aidas Tech),17:45:out(Aidas Tech),18:22:in(Aidas Tech),21:09:out(Aidas Tech),",2023-01-05 00:00:00,05:25,0,0,00:37
8,006,006,GS,09:30,23:30,14:02,21:12,7:10,00:00,7:10,4:32,2:17,Present ,"14:02:in(Aidas Tech),19:56:out(Aidas Tech),20:01:in(Aidas Tech),21:12:out(Aidas Tech),",2023-01-05 00:00:00,07:05,0,0,00:05
9,007,007,GS,09:30,23:30,09:42,18:47,9:05,00:00,9:05,00:00,4:42,Present ,"09:42:in(Aidas Tech),09:43:(Aidas Tech),13:25:out(Aidas Tech),14:17:in(Aidas Tech),18:28:out(Aidas Tech),18:39:in(Aidas Tech),18:42:(Aidas Tech),18:47:out(Aidas Tech),",2023-01-05 00:00:00,07:58,0,2,01:07
10,00007,00007,GS,09:30,23:30,10:26,18:01,7:35,00:00,7:35,00:56,5:28,Present ,"10:26:in(Aidas Tech),13:43:out(Aidas Tech),13:43:(Aidas Tech),14:40:in(Aidas Tech),14:44:(Aidas Tech),16:51:out(Aidas Tech),17:12:in(Aidas Tech),18:01:out(Aidas Tech),",2023-01-05 00:00:00,06:13,0,2,01:22
11,0008,0008,GS,09:30,23:30,10:56,20:09,9:13,00:00,9:13,1:26,3:20,Present ,"10:56:in(Aidas Tech),12:00:out(Aidas Tech),12:15:in(Aidas Tech),13:21:out(Aidas Tech),14:17:in(Aidas Tech),14:17:(Aidas Tech),16:50:out(Aidas Tech),16:55:in(Aidas Tech),17:43:out(Aidas Tech),18:25:in(Aidas Tech),20:09:out(Aidas Tech),",2023-01-05 00:00:00,07:15,0,1,01:58
12,0009,0009,GS,09:30,23:30,10:06,18:50,8:44,00:00,8:44,00:36,4:39,Present ,"10:06:in(Aidas Tech),10:06:(Aidas Tech),10:30:out(Aidas Tech),10:35:(Aidas Tech),11:53:in(Aidas Tech),11:59:out(Aidas Tech),11:59:(Aidas Tech),13:24:in(Aidas Tech),14:17:out(Aidas Tech),15:30:in(Aidas Tech),15:30:(Aidas Tech),17:43:out(Aidas Tech),18:25:in(Aidas Tech),18:50:out(Aidas Tech),",2023-01-05 00:00:00,04:01,0,4,04:43
13,010,010,GS,09:30,23:30,09:24,18:00,8:31,00:00,8:31,00:00,5:29,Present ,"09:24:in(Aidas Tech),09:26:(Aidas Tech),09:27:(Aidas Tech),09:29:out(Aidas Tech),09:29:(Aidas Tech),10:15:in(Aidas Tech),10:15:(Aidas Tech),10:15:(Aidas Tech),12:44:out(Aidas Tech),12:57:in(Aidas Tech),12:57:(Aidas Tech),13:24:out(Aidas Tech),14:07:in(Aidas Tech),14:07:(Aidas Tech),14:07:(Aidas Tech),15:41:out(Aidas Tech),15:52:in(Aidas Tech),15:52:(Aidas Tech),18:00:out(Aidas Tech),",2023-01-05 00:00:00,06:40,0,9,01:51
14,00015,00015,GS,09:30,23:30,11:38,20:58,9:20,00:00,9:20,2:08,2:31,Present ,"11:38:in(Aidas Tech),13:34:out(Aidas Tech),14:09:in(Aidas Tech),16:15:out(Aidas Tech),17:10:in(Aidas Tech),20:58:out(Aidas Tech),",2023-01-05 00:00:00,07:50,0,0,01:30
17,00019,00019,GS,09:30,23:30,12:48,21:09,8:21,00:00,8:21,3:18,2:20,Present ,"12:48:in(Aidas Tech),12:50:(Aidas Tech),12:53:(Aidas Tech),13:25:out(Aidas Tech),14:17:in(Aidas Tech),15:22:out(Aidas Tech),15:30:in(Aidas Tech),15:30:(Aidas Tech),17:44:out(Aidas Tech),18:22:in(Aidas Tech),18:22:(Aidas Tech),19:57:out(Aidas Tech),19:59:(Aidas Tech),20:20:in(Aidas Tech),20:28:out(Aidas Tech),20:58:in(Aidas Tech),21:03:out(Aidas Tech),21:09:in(Aidas Tech),",2023-01-05 00:00:00,05:39,0,5,02:42
19,00024,00024,GS,09:30,23:30,14:40,21:28,6:48,00:00,6:48,5:10,2:01,Present ,"14:40:in(Aidas Tech),16:50:out(Aidas Tech),16:55:in(Aidas Tech),17:45:out(Aidas Tech),18:37:in(Aidas Tech),21:12:out(Aidas Tech),21:18:in(Aidas Tech),21:28:out(Aidas Tech),",2023-01-05 00:00:00,05:45,0,0,01:03
20,00026,00026,GS,09:30,23:30,12:27,20:57,8:30,00:00,8:30,2:57,2:32,Present ,"12:27:in(Aidas Tech),12:27:(Aidas Tech),13:25:out(Aidas Tech),14:17:in(Aidas Tech),15:40:out(Aidas Tech),15:43:(Aidas Tech),17:43:in(Aidas Tech),18:25:out(Aidas Tech),20:07:in(Aidas Tech),20:13:out(Aidas Tech),20:13:(Aidas Tech),20:57:in(Aidas Tech),",2023-01-05 00:00:00,03:09,0,3,05:21
21,00027,00027,GS,09:30,23:30,14:40,20:38,5:58,00:00,5:58,5:10,2:51,Present ,"14:40:in(Aidas Tech),14:49:out(Aidas Tech),14:50:(Aidas Tech),16:14:in(Aidas Tech),16:18:(Aidas Tech),17:07:out(Aidas Tech),17:34:in(Aidas Tech),18:39:out(Aidas Tech),18:42:(Aidas Tech),20:28:in(Aidas Tech),20:32:(Aidas Tech),20:38:out(Aidas Tech),",2023-01-05 00:00:00,02:09,0,4,03:49
22,00028,00028,GS,09:30,23:30,15:10,20:58,5:48,00:00,5:48,5:40,2:31,Present ,"15:10:in(Aidas Tech),15:10:(Aidas Tech),15:21:out(Aidas Tech),18:05:in(Aidas Tech),18:28:out(Aidas Tech),19:56:in(Aidas Tech),20:17:out(Aidas Tech),20:58:in(Aidas Tech),",2023-01-05 00:00:00,00:55,0,1,04:53
23,00030,00030,GS,09:30,23:30,09:56,18:03,8:06,00:00,8:06,00:26,5:27,Present ,"09:56:in(Aidas Tech),13:32:out(Aidas Tech),14:06:in(Aidas Tech),14:33:out(Aidas Tech),14:33:(Aidas Tech),16:24:in(Aidas Tech),16:27:(Aidas Tech),16:51:out(Aidas Tech),17:12:in(Aidas Tech),18:02:out(Aidas Tech),18:03:(Aidas Tech),18:03:(Aidas Tech),",2023-01-05 00:00:00,05:17,0,3,02:49
26,00034,00034,GS,09:30,23:30,10:26,18:01,7:35,00:00,7:35,00:56,5:28,Present ,"10:26:in(Aidas Tech),12:04:out(Aidas Tech),12:11:in(Aidas Tech),13:24:out(Aidas Tech),14:17:in(Aidas Tech),16:26:out(Aidas Tech),16:32:in(Aidas Tech),18:01:out(Aidas Tech),",2023-01-05 00:00:00,06:29,0,0,01:06
28,00036,00036,GS,09:30,23:30,14:02,21:13,7:11,00:00,7:11,4:32,2:16,Present ,"14:02:in(Aidas Tech),16:18:out(Aidas Tech),16:23:(Aidas Tech),16:59:in(Aidas Tech),17:03:(Aidas Tech),17:46:out(Aidas Tech),18:37:in(Aidas Tech),18:37:(Aidas Tech),18:38:(Aidas Tech),19:29:out(Aidas Tech),19:37:in(Aidas Tech),20:35:out(Aidas Tech),20:37:(Aidas Tech),21:13:in(Aidas Tech),",2023-01-05 00:00:00,04:48,0,5,02:23
31,00041,00041,GS,09:30,23:30,09:24,18:00,8:31,00:00,8:31,00:00,5:29,Present ,"09:24:in(Aidas Tech),09:26:(Aidas Tech),09:29:(Aidas Tech),10:25:out(Aidas Tech),12:44:in(Aidas Tech),12:57:out(Aidas Tech),13:24:in(Aidas Tech),14:07:out(Aidas Tech),14:07:(Aidas Tech),14:07:(Aidas Tech),15:32:in(Aidas Tech),15:39:out(Aidas Tech),15:39:(Aidas Tech),15:42:(Aidas Tech),15:48:in(Aidas Tech),15:48:(Aidas Tech),18:00:out(Aidas Tech),",2023-01-05 00:00:00,04:11,0,7,04:20
6,0003,0003,GS,09:30,23:30,12:17,19:37,7:20,00:00,7:20,2:47,3:52,Present ,"12:17:in(Aidas Tech),13:24:out(Aidas Tech),14:27:in(Aidas Tech),16:38:out(Aidas Tech),17:39:in(Aidas Tech),19:37:out(Aidas Tech),",2023-01-06 00:00:00,05:16,0,0,02:04
7,00005,00005,GS,09:30,23:30,14:31,22:24,7:53,00:00,7:53,5:01,1:05,Present ,"14:31:in(Aidas Tech),16:39:out(Aidas Tech),17:32:in(Aidas Tech),21:00:out(Aidas Tech),21:03:(Aidas Tech),22:24:in(Aidas Tech),",2023-01-06 00:00:00,05:36,0,1,02:17
8,006,006,GS,09:30,23:30,14:32,21:08,6:36,00:00,6:36,5:02,2:21,Present ,"14:32:in(Aidas Tech),16:38:out(Aidas Tech),17:31:in(Aidas Tech),19:52:out(Aidas Tech),19:55:(Aidas Tech),21:08:in(Aidas Tech),",2023-01-06 00:00:00,04:27,0,1,02:09
9,007,007,GS,09:30,23:30,09:33,19:16,9:43,00:00,9:43,00:00,4:13,Present ,"09:33:in(Aidas Tech),13:34:out(Aidas Tech),14:17:in(Aidas Tech),16:39:out(Aidas Tech),17:32:in(Aidas Tech),18:10:out(Aidas Tech),18:15:(Aidas Tech),19:16:in(Aidas Tech),",2023-01-06 00:00:00,07:01,0,1,02:42
10,00007,00007,GS,09:30,23:30,10:23,18:07,7:44,00:00,7:44,00:53,5:22,Present ,"10:23:in(Aidas Tech),13:17:out(Aidas Tech),14:34:in(Aidas Tech),16:38:out(Aidas Tech),17:29:in(Aidas Tech),18:07:out(Aidas Tech),",2023-01-06 00:00:00,05:36,0,0,02:08
11,0008,0008,GS,09:30,23:30,11:56,21:06,9:10,00:00,9:10,2:26,2:23,Present ,"11:56:in(Aidas Tech),13:26:out(Aidas Tech),14:32:in(Aidas Tech),16:39:out(Aidas Tech),17:31:in(Aidas Tech),21:06:out(Aidas Tech),",2023-01-06 00:00:00,07:12,0,0,01:58
12,0009,0009,GS,09:30,23:30,10:11,19:20,9:09,00:00,9:09,00:41,4:09,Present ,"10:11:in(Aidas Tech),12:03:out(Aidas Tech),12:10:in(Aidas Tech),12:10:(Aidas Tech),13:24:out(Aidas Tech),14:30:in(Aidas Tech),14:30:(Aidas Tech),15:52:out(Aidas Tech),16:01:in(Aidas Tech),16:38:out(Aidas Tech),17:31:in(Aidas Tech),18:21:out(Aidas Tech),18:27:in(Aidas Tech),18:27:(Aidas Tech),19:20:out(Aidas Tech),",2023-01-06 00:00:00,06:48,0,3,02:21
13,010,010,GS,09:30,23:30,09:33,18:08,8:35,00:00,8:35,00:00,5:21,Present ,"09:33:in(Aidas Tech),10:04:out(Aidas Tech),10:04:(Aidas Tech),13:34:in(Aidas Tech),14:33:out(Aidas Tech),14:33:(Aidas Tech),14:34:(Aidas Tech),14:36:(Aidas Tech),14:36:(Aidas Tech),16:38:in(Aidas Tech),17:31:out(Aidas Tech),18:08:in(Aidas Tech),",2023-01-06 00:00:00,02:23,0,5,06:12
14,00015,00015,GS,09:30,23:30,10:42,17:39,6:57,00:00,6:57,1:12,5:50,Present ,"10:42:in(Aidas Tech),13:26:out(Aidas Tech),14:27:in(Aidas Tech),17:39:out(Aidas Tech),",2023-01-06 00:00:00,05:56,0,0,01:01
